stt,logo_name,company_name,location,field,people,country,working_day,time
395,logo-395.png,GreenFeed,"District 3, Ho Chi Minh",Product,1000+,Vietnam,Monday - Friday,No OT
396,logo-396.png,10X Technology and Consulting,"District 3, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
397,logo-397.png,FPT Information System Corporation,"Ha Noi, Ho Chi Minh",Product,1000+,Vietnam,Monday - Friday,Extra salary for OT
398,logo-398.png,bravesoft Vietnam,"District 10, Ho Chi Minh",Outsourcing,18264,Japan,Monday - Friday,No OT
399,logo-399.png,Vincere,"District 1, Ho Chi Minh",Product,51-150,Singapore,Monday - Friday,Extra salary for OT
400,logo-400.png,Easybook.com,"Phu Nhuan, Ho Chi Minh",Product,51-150,Singapore,Monday - Friday,No OT
401,logo-401.png,Biglabs,"District 3, Ho Chi Minh",Product,18264,Singapore,Monday - Friday,No OT
402,logo-402.png,New Pinetech,"District 1, Ho Chi Minh",Product,51-150,Vietnam,Monday - Friday,No OT
403,logo-403.png,LikeLion Vietnam,"District 3, Ho Chi Minh",Product,18264,"Korea, Republic of",Monday - Friday,No OT
404,logo-404.png,Laudert Vietnam,"Phu Nhuan, Ho Chi Minh",Outsourcing,18264,Germany,Monday - Friday,Extra days off for OT
405,logo-405.png,CH Resource Vietnam,"District 2, Ho Chi Minh",Product,51-150,Singapore,Monday - Friday,No OT
406,logo-406.png,Liberty Insurance Limited,"District 1, Ho Chi Minh",Product,301-500,United States,Monday - Friday,Extra salary for OT
407,logo-407.png,Taggle Pte. Ltd.,"Tan Binh, Ho Chi Minh",Product,18264,Singapore,Monday - Friday,No OT
408,logo-408.png,FDS Software,"District 2, Ho Chi Minh",Outsourcing,18264,Vietnam,Monday - Friday,No OT
409,logo-409.png,Techcombank,"Ha Noi, Ho Chi Minh",Product,1000+,Vietnam,Monday - Friday,No OT
410,logo-410.png,CÔNG TY DỊCH VỤ MOBIFONE KHU V?C 2,"District 10, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
411,logo-411.png,Công ty Cổ phần Chứng khoán Tiên Phong,"District 1, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
412,logo-412.png,Success Software Services,"Tan Binh, Ho Chi Minh",Product,51-150,Vietnam,Monday - Friday,No OT
413,logo-413.png,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ MÁY TÍNH VŨ ANH,"Tan Phu, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
414,logo-414.png,CÔNG TY TNHH R TECHNO VIỆT NAM,"Binh Thanh, Ho Chi Minh",Outsourcing,151-300,Japan,Monday - Friday,No OT
415,logo-415.png,AES Technologies,"Binh Thanh, Ho Chi Minh",Product,18264,Singapore,Monday - Friday,No OT
416,logo-416.png,POETA,"District 3, Ho Chi Minh",Outsourcing,18264,Canada,Monday - Friday,Extra salary for OT
417,logo-417.png,FLYNK,"Binh Thanh, Ho Chi Minh",Outsourcing,18264,Australia,Monday - Friday,No OT
418,logo-418.png,Jenfi,"Ho Chi Minh, Ha Noi",Product,18264,Singapore,Monday - Friday,No OT
419,logo-419.png,Poloman,Ho Chi Minh,Product,18264,Vietnam,Monday - Friday,No OT
420,logo-420.png,Công Ty TNHH Enjoyworks,"Da Nang, Ho Chi Minh",Product,18264,"Korea, Republic of",Monday - Friday,No OT
421,logo-421.png,New Ocean IS,Ho Chi Minh,Outsourcing,51-150,Vietnam,Monday - Friday,Extra salary for OT
422,logo-422.png,Kamereo,"Binh Thanh, Ho Chi Minh",Product,18264,Japan,Monday - Friday,No OT
423,logo-423.png,Athena,"District 2, Ho Chi Minh",Outsourcing,18264,France,Monday - Friday,Extra salary for OT
424,logo-424.png,ONSKY VIETNAM,"Thu Duc City, Ho Chi Minh",Product,18264,United States,Monday - Friday,No OT
425,logo-425.png,IPFS,"Binh Thanh, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,Extra days off for OT
426,logo-426.png,DataHouse Asia,"Ho Chi Minh, Da Nang, Others",Outsourcing,51-150,United States,Monday - Friday,Extra salary for OT
427,logo-427.png,Genesys,"Binh Thanh, Ho Chi Minh",Product,51-150,Vietnam,none,none
428,logo-428.png,WIGROUP,"Binh Thanh, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
429,logo-429.png,MODEC,"Others, Ho Chi Minh",Product,51-150,Japan,Monday - Friday,No OT
430,logo-430.png,Kyber Network,"Ha Noi, Ho Chi Minh",Product,51-150,Singapore,Monday - Friday,none
431,logo-431.png,Hash Consulting Group,"Other, Ho Chi Minh",Product,18264,Singapore,Monday - Friday,No OT
432,logo-432.png,Gotadi,"District 3, Ho Chi Minh",Product,51-150,Vietnam,Monday - Friday,none
433,logo-433.png,Discovery Loft Inc.,"District 1, Ho Chi Minh",Product,51-150,Canada,Monday - Friday,No OT
434,logo-434.png,IncepIT,"Tan Binh, Ho Chi Minh",Outsourcing,18264,Vietnam,Monday - Friday,No OT
